"","Data Series","Time","Exports"
"287","Africa (Million Dollars)","2018 Aug",854.7
"288","Africa (Million Dollars)","2018 Jul",692.8
"289","Africa (Million Dollars)","2018 Jun",712.9
"290","Africa (Million Dollars)","2018 May",797.9
"291","Africa (Million Dollars)","2018 Apr",678.2
"292","Africa (Million Dollars)","2018 Mar",614.6
"293","Africa (Million Dollars)","2018 Feb",755.2
"294","Africa (Million Dollars)","2018 Jan",590.7
"295","European Union (Million Dollars)","2022 Jan",4099.9
"296","European Union (Million Dollars)","2021 Dec",3890.1
"297","European Union (Million Dollars)","2021 Nov",3973.4
"298","European Union (Million Dollars)","2021 Oct",4260.9
"299","European Union (Million Dollars)","2021 Sep",3602.2
"300","European Union (Million Dollars)","2021 Aug",3630.9
"301","European Union (Million Dollars)","2021 Jul",3907
"302","European Union (Million Dollars)","2021 Jun",3917.2
"303","European Union (Million Dollars)","2021 May",3922.3
"304","European Union (Million Dollars)","2021 Apr",3753.2
"305","European Union (Million Dollars)","2021 Mar",4459.2
"306","European Union (Million Dollars)","2021 Feb",3164.2
"307","European Union (Million Dollars)","2021 Jan",3696.2
"308","European Union (Million Dollars)","2020 Dec",3190.3
"309","European Union (Million Dollars)","2020 Nov",2990.7
"310","European Union (Million Dollars)","2020 Oct",3789.1
"311","European Union (Million Dollars)","2020 Sep",4061
"312","European Union (Million Dollars)","2020 Aug",3612.9
"313","European Union (Million Dollars)","2020 Jul",3198.5
"314","European Union (Million Dollars)","2020 Jun",3424.1
"315","European Union (Million Dollars)","2020 May",3853.5
"316","European Union (Million Dollars)","2020 Apr",4030
"317","European Union (Million Dollars)","2020 Mar",3529.5
"318","European Union (Million Dollars)","2020 Feb",4200
"319","European Union (Million Dollars)","2020 Jan",3655.4
"320","European Union (Million Dollars)","2019 Dec",3152.4
"321","European Union (Million Dollars)","2019 Nov",3288.8
"322","European Union (Million Dollars)","2019 Oct",3736.1
"323","European Union (Million Dollars)","2019 Sep",3126
"324","European Union (Million Dollars)","2019 Aug",3033.8
"325","European Union (Million Dollars)","2019 Jul",3346.5
"326","European Union (Million Dollars)","2019 Jun",3030.6
"327","European Union (Million Dollars)","2019 May",4550.2
"328","European Union (Million Dollars)","2019 Apr",3070.4
"329","European Union (Million Dollars)","2019 Mar",3464.8
"330","European Union (Million Dollars)","2019 Feb",3342.7
"331","European Union (Million Dollars)","2019 Jan",3926.7
"332","European Union (Million Dollars)","2018 Dec",3210
"333","European Union (Million Dollars)","2018 Nov",3937.1
"334","European Union (Million Dollars)","2018 Oct",4385.1
"335","European Union (Million Dollars)","2018 Sep",3900.1
"336","European Union (Million Dollars)","2018 Aug",3908.9
"337","European Union (Million Dollars)","2018 Jul",3333
"338","European Union (Million Dollars)","2018 Jun",3775.9
"339","European Union (Million Dollars)","2018 May",3527.7
"340","European Union (Million Dollars)","2018 Apr",3565.4
"341","European Union (Million Dollars)","2018 Mar",3381.5
"342","European Union (Million Dollars)","2018 Feb",3193
"343","European Union (Million Dollars)","2018 Jan",3630.9
"344","Belgium (Thousand Dollars)","2022 Jan",702245
"345","Belgium (Thousand Dollars)","2021 Dec",457888
"346","Belgium (Thousand Dollars)","2021 Nov",463968
"347","Belgium (Thousand Dollars)","2021 Oct",823155
"348","Belgium (Thousand Dollars)","2021 Sep",450170
"349","Belgium (Thousand Dollars)","2021 Aug",334717
"350","Belgium (Thousand Dollars)","2021 Jul",760892
"351","Belgium (Thousand Dollars)","2021 Jun",585846
"352","Belgium (Thousand Dollars)","2021 May",773462
"353","Belgium (Thousand Dollars)","2021 Apr",590664
"354","Belgium (Thousand Dollars)","2021 Mar",1094463
"355","Belgium (Thousand Dollars)","2021 Feb",447254
"356","Belgium (Thousand Dollars)","2021 Jan",470384
"357","Belgium (Thousand Dollars)","2020 Dec",228581
"358","Belgium (Thousand Dollars)","2020 Nov",411750
"359","Belgium (Thousand Dollars)","2020 Oct",714179
"360","Belgium (Thousand Dollars)","2020 Sep",443025
"361","Belgium (Thousand Dollars)","2020 Aug",339644
"362","Belgium (Thousand Dollars)","2020 Jul",254329
"363","Belgium (Thousand Dollars)","2020 Jun",386915
"364","Belgium (Thousand Dollars)","2020 May",925654
"365","Belgium (Thousand Dollars)","2020 Apr",1176482
"366","Belgium (Thousand Dollars)","2020 Mar",550919
"367","Belgium (Thousand Dollars)","2020 Feb",624401
"368","Belgium (Thousand Dollars)","2020 Jan",618487
"369","Belgium (Thousand Dollars)","2019 Dec",498029
"370","Belgium (Thousand Dollars)","2019 Nov",553449
"371","Belgium (Thousand Dollars)","2019 Oct",635001
"372","Belgium (Thousand Dollars)","2019 Sep",463503
"373","Belgium (Thousand Dollars)","2019 Aug",338818
"374","Belgium (Thousand Dollars)","2019 Jul",389853
"375","Belgium (Thousand Dollars)","2019 Jun",318325
"376","Belgium (Thousand Dollars)","2019 May",1380735
"377","Belgium (Thousand Dollars)","2019 Apr",277437
"378","Belgium (Thousand Dollars)","2019 Mar",274500
"379","Belgium (Thousand Dollars)","2019 Feb",470596
"380","Belgium (Thousand Dollars)","2019 Jan",491576
"381","Belgium (Thousand Dollars)","2018 Dec",218293
"382","Belgium (Thousand Dollars)","2018 Nov",647959
"383","Belgium (Thousand Dollars)","2018 Oct",1213141
"384","Belgium (Thousand Dollars)","2018 Sep",747816
"385","Belgium (Thousand Dollars)","2018 Aug",471877
"386","Belgium (Thousand Dollars)","2018 Jul",299089
"387","Belgium (Thousand Dollars)","2018 Jun",475517
"388","Belgium (Thousand Dollars)","2018 May",593394
"389","Belgium (Thousand Dollars)","2018 Apr",671336
"390","Belgium (Thousand Dollars)","2018 Mar",481168
"391","Belgium (Thousand Dollars)","2018 Feb",461082
"392","Belgium (Thousand Dollars)","2018 Jan",607382
"393","Denmark (Thousand Dollars)","2022 Jan",32037
"394","Denmark (Thousand Dollars)","2021 Dec",28435
"395","Denmark (Thousand Dollars)","2021 Nov",24507
"396","Denmark (Thousand Dollars)","2021 Oct",22478
"397","Denmark (Thousand Dollars)","2021 Sep",30258
"398","Denmark (Thousand Dollars)","2021 Aug",27120
"399","Denmark (Thousand Dollars)","2021 Jul",179500
"400","Denmark (Thousand Dollars)","2021 Jun",27831
"401","Denmark (Thousand Dollars)","2021 May",15815
"402","Denmark (Thousand Dollars)","2021 Apr",22270
"403","Denmark (Thousand Dollars)","2021 Mar",24819
"404","Denmark (Thousand Dollars)","2021 Feb",23271
"405","Denmark (Thousand Dollars)","2021 Jan",24573
"406","Denmark (Thousand Dollars)","2020 Dec",12355
"407","Denmark (Thousand Dollars)","2020 Nov",14607
"408","Denmark (Thousand Dollars)","2020 Oct",18695
"409","Denmark (Thousand Dollars)","2020 Sep",14031
"410","Denmark (Thousand Dollars)","2020 Aug",15904
"411","Denmark (Thousand Dollars)","2020 Jul",13914
"412","Denmark (Thousand Dollars)","2020 Jun",13574
"413","Denmark (Thousand Dollars)","2020 May",9833
"414","Denmark (Thousand Dollars)","2020 Apr",18305
"415","Denmark (Thousand Dollars)","2020 Mar",15795
"416","Denmark (Thousand Dollars)","2020 Feb",33476
"417","Denmark (Thousand Dollars)","2020 Jan",18442
"418","Denmark (Thousand Dollars)","2019 Dec",13039
"419","Denmark (Thousand Dollars)","2019 Nov",11415
"420","Denmark (Thousand Dollars)","2019 Oct",15446
"421","Denmark (Thousand Dollars)","2019 Sep",12465
"422","Denmark (Thousand Dollars)","2019 Aug",19571
"423","Denmark (Thousand Dollars)","2019 Jul",21957
"424","Denmark (Thousand Dollars)","2019 Jun",19587
"425","Denmark (Thousand Dollars)","2019 May",27991
"426","Denmark (Thousand Dollars)","2019 Apr",12928
"427","Denmark (Thousand Dollars)","2019 Mar",12219
"428","Denmark (Thousand Dollars)","2019 Feb",15066
"429","Denmark (Thousand Dollars)","2019 Jan",18940
"430","Denmark (Thousand Dollars)","2018 Dec",21603
"431","Denmark (Thousand Dollars)","2018 Nov",20479
"432","Denmark (Thousand Dollars)","2018 Oct",25583
"433","Denmark (Thousand Dollars)","2018 Sep",30342
"434","Denmark (Thousand Dollars)","2018 Aug",31741
"435","Denmark (Thousand Dollars)","2018 Jul",36868
"436","Denmark (Thousand Dollars)","2018 Jun",58383
"437","Denmark (Thousand Dollars)","2018 May",15430
"438","Denmark (Thousand Dollars)","2018 Apr",31195
"439","Denmark (Thousand Dollars)","2018 Mar",26709
"440","Denmark (Thousand Dollars)","2018 Feb",23827
"441","Denmark (Thousand Dollars)","2018 Jan",24294
"442","France (Thousand Dollars)","2022 Jan",445754
"443","France (Thousand Dollars)","2021 Dec",441787
"444","France (Thousand Dollars)","2021 Nov",417352
"445","France (Thousand Dollars)","2021 Oct",445179
"446","France (Thousand Dollars)","2021 Sep",391514
"447","France (Thousand Dollars)","2021 Aug",310002
"448","France (Thousand Dollars)","2021 Jul",411915
"449","France (Thousand Dollars)","2021 Jun",356333
"450","France (Thousand Dollars)","2021 May",346259
"451","France (Thousand Dollars)","2021 Apr",398291
"452","France (Thousand Dollars)","2021 Mar",433983
"453","France (Thousand Dollars)","2021 Feb",367562
"454","France (Thousand Dollars)","2021 Jan",816892
"455","France (Thousand Dollars)","2020 Dec",406905
"456","France (Thousand Dollars)","2020 Nov",373405
"457","France (Thousand Dollars)","2020 Oct",494312
"458","France (Thousand Dollars)","2020 Sep",1198893
"459","France (Thousand Dollars)","2020 Aug",748248
"460","France (Thousand Dollars)","2020 Jul",330195
"461","France (Thousand Dollars)","2020 Jun",327298
"462","France (Thousand Dollars)","2020 May",275463
"463","France (Thousand Dollars)","2020 Apr",329421
"464","France (Thousand Dollars)","2020 Mar",371118
"465","France (Thousand Dollars)","2020 Feb",379019
"466","France (Thousand Dollars)","2020 Jan",344766
"467","France (Thousand Dollars)","2019 Dec",415758
"468","France (Thousand Dollars)","2019 Nov",435599
"469","France (Thousand Dollars)","2019 Oct",429136
"470","France (Thousand Dollars)","2019 Sep",438494
"471","France (Thousand Dollars)","2019 Aug",429193
"472","France (Thousand Dollars)","2019 Jul",410138
"473","France (Thousand Dollars)","2019 Jun",360330
"474","France (Thousand Dollars)","2019 May",577736
"475","France (Thousand Dollars)","2019 Apr",475919
"476","France (Thousand Dollars)","2019 Mar",535745
"477","France (Thousand Dollars)","2019 Feb",404861
"478","France (Thousand Dollars)","2019 Jan",510535
"479","France (Thousand Dollars)","2018 Dec",472271
"480","France (Thousand Dollars)","2018 Nov",566991
"481","France (Thousand Dollars)","2018 Oct",573108
"482","France (Thousand Dollars)","2018 Sep",588829
"483","France (Thousand Dollars)","2018 Aug",471932
"484","France (Thousand Dollars)","2018 Jul",443683
"485","France (Thousand Dollars)","2018 Jun",637168
"486","France (Thousand Dollars)","2018 May",402186
"487","France (Thousand Dollars)","2018 Apr",473738
"488","France (Thousand Dollars)","2018 Mar",426894
"489","France (Thousand Dollars)","2018 Feb",392911
"490","France (Thousand Dollars)","2018 Jan",446415
"491","Germany, Federal Republic Of (Thousand Dollars)","2022 Jan",784686
"492","Germany, Federal Republic Of (Thousand Dollars)","2021 Dec",917779
"493","Germany, Federal Republic Of (Thousand Dollars)","2021 Nov",777783
