"","Data Series","Time","Imports"
"342","European Union (Million Dollars)","2018 Feb",3757.4
"343","European Union (Million Dollars)","2018 Jan",4350
"344","Belgium (Thousand Dollars)","2022 Jan",170871
"345","Belgium (Thousand Dollars)","2021 Dec",129536
"346","Belgium (Thousand Dollars)","2021 Nov",131031
"347","Belgium (Thousand Dollars)","2021 Oct",250735
"348","Belgium (Thousand Dollars)","2021 Sep",155819
"349","Belgium (Thousand Dollars)","2021 Aug",98508
"350","Belgium (Thousand Dollars)","2021 Jul",183841
"351","Belgium (Thousand Dollars)","2021 Jun",117345
"352","Belgium (Thousand Dollars)","2021 May",151574
"353","Belgium (Thousand Dollars)","2021 Apr",174581
"354","Belgium (Thousand Dollars)","2021 Mar",128928
"355","Belgium (Thousand Dollars)","2021 Feb",191622
"356","Belgium (Thousand Dollars)","2021 Jan",119744
"357","Belgium (Thousand Dollars)","2020 Dec",133445
"358","Belgium (Thousand Dollars)","2020 Nov",209539
"359","Belgium (Thousand Dollars)","2020 Oct",83657
"360","Belgium (Thousand Dollars)","2020 Sep",80823
"361","Belgium (Thousand Dollars)","2020 Aug",99286
"362","Belgium (Thousand Dollars)","2020 Jul",102317
"363","Belgium (Thousand Dollars)","2020 Jun",73457
"364","Belgium (Thousand Dollars)","2020 May",77945
"365","Belgium (Thousand Dollars)","2020 Apr",126970
"366","Belgium (Thousand Dollars)","2020 Mar",136150
"367","Belgium (Thousand Dollars)","2020 Feb",176921
"368","Belgium (Thousand Dollars)","2020 Jan",124193
"369","Belgium (Thousand Dollars)","2019 Dec",148564
"370","Belgium (Thousand Dollars)","2019 Nov",112197
"371","Belgium (Thousand Dollars)","2019 Oct",148895
"372","Belgium (Thousand Dollars)","2019 Sep",109280
"373","Belgium (Thousand Dollars)","2019 Aug",110542
"374","Belgium (Thousand Dollars)","2019 Jul",140243
"375","Belgium (Thousand Dollars)","2019 Jun",154637
"376","Belgium (Thousand Dollars)","2019 May",220417
"377","Belgium (Thousand Dollars)","2019 Apr",134313
"378","Belgium (Thousand Dollars)","2019 Mar",222413
"379","Belgium (Thousand Dollars)","2019 Feb",104332
"380","Belgium (Thousand Dollars)","2019 Jan",142735
"381","Belgium (Thousand Dollars)","2018 Dec",208414
"382","Belgium (Thousand Dollars)","2018 Nov",124412
"383","Belgium (Thousand Dollars)","2018 Oct",156310
"384","Belgium (Thousand Dollars)","2018 Sep",206012
"385","Belgium (Thousand Dollars)","2018 Aug",209928
"386","Belgium (Thousand Dollars)","2018 Jul",134276
"387","Belgium (Thousand Dollars)","2018 Jun",109902
"388","Belgium (Thousand Dollars)","2018 May",146725
"389","Belgium (Thousand Dollars)","2018 Apr",137948
"390","Belgium (Thousand Dollars)","2018 Mar",101637
"391","Belgium (Thousand Dollars)","2018 Feb",94994
"392","Belgium (Thousand Dollars)","2018 Jan",177054
"393","Denmark (Thousand Dollars)","2022 Jan",142022
"394","Denmark (Thousand Dollars)","2021 Dec",52270
"395","Denmark (Thousand Dollars)","2021 Nov",91555
"396","Denmark (Thousand Dollars)","2021 Oct",54084
"397","Denmark (Thousand Dollars)","2021 Sep",151317
"398","Denmark (Thousand Dollars)","2021 Aug",61383
"399","Denmark (Thousand Dollars)","2021 Jul",56814
"400","Denmark (Thousand Dollars)","2021 Jun",146833
"401","Denmark (Thousand Dollars)","2021 May",55964
"402","Denmark (Thousand Dollars)","2021 Apr",44685
"403","Denmark (Thousand Dollars)","2021 Mar",117667
"404","Denmark (Thousand Dollars)","2021 Feb",73685
"405","Denmark (Thousand Dollars)","2021 Jan",105473
"406","Denmark (Thousand Dollars)","2020 Dec",143209
"407","Denmark (Thousand Dollars)","2020 Nov",45010
"408","Denmark (Thousand Dollars)","2020 Oct",43480
"409","Denmark (Thousand Dollars)","2020 Sep",70494
"410","Denmark (Thousand Dollars)","2020 Aug",44398
"411","Denmark (Thousand Dollars)","2020 Jul",95598
"412","Denmark (Thousand Dollars)","2020 Jun",41203
"413","Denmark (Thousand Dollars)","2020 May",65305
"414","Denmark (Thousand Dollars)","2020 Apr",62488
"415","Denmark (Thousand Dollars)","2020 Mar",54577
"416","Denmark (Thousand Dollars)","2020 Feb",124343
"417","Denmark (Thousand Dollars)","2020 Jan",84860
"418","Denmark (Thousand Dollars)","2019 Dec",44062
"419","Denmark (Thousand Dollars)","2019 Nov",53664
"420","Denmark (Thousand Dollars)","2019 Oct",112559
"421","Denmark (Thousand Dollars)","2019 Sep",59067
"422","Denmark (Thousand Dollars)","2019 Aug",57022
"423","Denmark (Thousand Dollars)","2019 Jul",53531
"424","Denmark (Thousand Dollars)","2019 Jun",41769
"425","Denmark (Thousand Dollars)","2019 May",89820
"426","Denmark (Thousand Dollars)","2019 Apr",41722
"427","Denmark (Thousand Dollars)","2019 Mar",47250
"428","Denmark (Thousand Dollars)","2019 Feb",47721
"429","Denmark (Thousand Dollars)","2019 Jan",53083
"430","Denmark (Thousand Dollars)","2018 Dec",54229
"431","Denmark (Thousand Dollars)","2018 Nov",44982
"432","Denmark (Thousand Dollars)","2018 Oct",52667
"433","Denmark (Thousand Dollars)","2018 Sep",98336
"434","Denmark (Thousand Dollars)","2018 Aug",53420
"435","Denmark (Thousand Dollars)","2018 Jul",49704
"436","Denmark (Thousand Dollars)","2018 Jun",49998
"437","Denmark (Thousand Dollars)","2018 May",147783
"438","Denmark (Thousand Dollars)","2018 Apr",50656
"439","Denmark (Thousand Dollars)","2018 Mar",48164
"440","Denmark (Thousand Dollars)","2018 Feb",44882
"441","Denmark (Thousand Dollars)","2018 Jan",44826
"442","France (Thousand Dollars)","2022 Jan",1428511
"443","France (Thousand Dollars)","2021 Dec",1449230
"444","France (Thousand Dollars)","2021 Nov",1259199
"445","France (Thousand Dollars)","2021 Oct",1248425
"446","France (Thousand Dollars)","2021 Sep",1432720
"447","France (Thousand Dollars)","2021 Aug",1035905
"448","France (Thousand Dollars)","2021 Jul",1279419
"449","France (Thousand Dollars)","2021 Jun",1453443
"450","France (Thousand Dollars)","2021 May",1239006
"451","France (Thousand Dollars)","2021 Apr",1150424
"452","France (Thousand Dollars)","2021 Mar",1906800
"453","France (Thousand Dollars)","2021 Feb",987454
"454","France (Thousand Dollars)","2021 Jan",1021290
"455","France (Thousand Dollars)","2020 Dec",1141603
"456","France (Thousand Dollars)","2020 Nov",1498854
"457","France (Thousand Dollars)","2020 Oct",1922407
"458","France (Thousand Dollars)","2020 Sep",1167166
"459","France (Thousand Dollars)","2020 Aug",922015
"460","France (Thousand Dollars)","2020 Jul",1088034
"461","France (Thousand Dollars)","2020 Jun",895505
"462","France (Thousand Dollars)","2020 May",690063
"463","France (Thousand Dollars)","2020 Apr",912836
"464","France (Thousand Dollars)","2020 Mar",1233320
"465","France (Thousand Dollars)","2020 Feb",1123010
"466","France (Thousand Dollars)","2020 Jan",1491370
"467","France (Thousand Dollars)","2019 Dec",1305861
"468","France (Thousand Dollars)","2019 Nov",1607039
"469","France (Thousand Dollars)","2019 Oct",1539927
"470","France (Thousand Dollars)","2019 Sep",1553172
"471","France (Thousand Dollars)","2019 Aug",1384504
"472","France (Thousand Dollars)","2019 Jul",1377160
"473","France (Thousand Dollars)","2019 Jun",1247644
"474","France (Thousand Dollars)","2019 May",1692436
"475","France (Thousand Dollars)","2019 Apr",1109264
"476","France (Thousand Dollars)","2019 Mar",1309187
"477","France (Thousand Dollars)","2019 Feb",1152218
"478","France (Thousand Dollars)","2019 Jan",1314599
"479","France (Thousand Dollars)","2018 Dec",1578847
"480","France (Thousand Dollars)","2018 Nov",1672960
"481","France (Thousand Dollars)","2018 Oct",1499952
"482","France (Thousand Dollars)","2018 Sep",1526122
"483","France (Thousand Dollars)","2018 Aug",1232340
"484","France (Thousand Dollars)","2018 Jul",1618780
"485","France (Thousand Dollars)","2018 Jun",1092862
"486","France (Thousand Dollars)","2018 May",949979
"487","France (Thousand Dollars)","2018 Apr",1001715
"488","France (Thousand Dollars)","2018 Mar",1036043
"489","France (Thousand Dollars)","2018 Feb",964469
"490","France (Thousand Dollars)","2018 Jan",1245941
"491","Germany, Federal Republic Of (Thousand Dollars)","2022 Jan",1039071
"492","Germany, Federal Republic Of (Thousand Dollars)","2021 Dec",1329642
"493","Germany, Federal Republic Of (Thousand Dollars)","2021 Nov",1094892
"494","Germany, Federal Republic Of (Thousand Dollars)","2021 Oct",1103039
"495","Germany, Federal Republic Of (Thousand Dollars)","2021 Sep",1290457
"496","Germany, Federal Republic Of (Thousand Dollars)","2021 Aug",1147489
"497","Germany, Federal Republic Of (Thousand Dollars)","2021 Jul",1185938
"498","Germany, Federal Republic Of (Thousand Dollars)","2021 Jun",1142950
"499","Germany, Federal Republic Of (Thousand Dollars)","2021 May",1432486
"500","Germany, Federal Republic Of (Thousand Dollars)","2021 Apr",1102010
"501","Germany, Federal Republic Of (Thousand Dollars)","2021 Mar",1124788
"502","Germany, Federal Republic Of (Thousand Dollars)","2021 Feb",916711
"503","Germany, Federal Republic Of (Thousand Dollars)","2021 Jan",947476
"504","Germany, Federal Republic Of (Thousand Dollars)","2020 Dec",980296
